Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.11.28 16:59:51;Sell Stop;0.45;EURUSD;1.04235;1.04335;;2022.11.28 17:00:06;1.04287;;;;cancelled
2022.11.28 16:59:51;Buy Stop;0.45;EURUSD;1.04375;1.04275;;2022.11.28 17:00:06;1.04287;;;;cancelled
2022.11.28 15:29:51;Sell Stop;0.45;EURUSD;1.04421;1.04521;;2022.11.28 15:30:06;1.04508;;;;cancelled
2022.11.28 15:29:51;Buy Stop;0.45;EURUSD;1.04561;1.04461;;2022.11.28 15:30:06;1.04497;;;;cancelled
2022.11.28 10:33:34;Sell;0.03;USDJPY;137.743;138.106;109.115;2022.11.28 13:45:27;138.115;-0.21;;-8.08;[sl]
2022.11.28 08:00:42;Sell;0.03;USDJPY;138.323;137.866;118.159;2022.11.28 13:01:15;137.865;-0.21;;9.97;[sl]
2022.11.28 10:30:00;Sell Stop;0.45;EURUSD;1.04000;1.04100;;2022.11.28 10:30:23;1.04057;;;;cancelled
2022.11.28 10:30:00;Buy Stop;0.45;EURUSD;1.04140;1.04040;;2022.11.28 10:30:23;1.04058;;;;cancelled
2022.11.28 08:00:42;Sell;0.03;USDJPY;138.323;138.276;118.159;2022.11.28 09:58:06;138.278;-0.21;;0.98;[sl]
2022.11.28 04:30:21;Sell;0.03;USDJPY;138.356;138.632;118.805;2022.11.28 05:28:48;138.632;-0.21;;-5.97;[sl]
2022.11.28 04:30:21;Sell;0.03;USDJPY;138.366;138.632;118.805;2022.11.28 05:28:48;138.634;-0.21;;-5.80;[sl]
2022.11.28 04:30:21;Sell;0.03;USDJPY;138.356;138.618;118.805;2022.11.28 05:26:42;138.618;-0.21;;-5.67;[sl]
2022.11.28 04:30:21;Sell;0.03;USDJPY;138.366;138.618;118.805;2022.11.28 05:26:42;138.618;-0.21;;-5.45;[sl]
2022.11.26 16:35:40;Balance;;;;;;;;;;-94.67;
2022.11.25 01:00:51;Buy;0.12;GBPCAD;1.61497;1.61111;1.61967;2022.11.25 22:00:11;1.61767;-0.84;;24.22;
2022.11.25 11:03:43;Buy;0.07;GBPCHF;1.14161;1.14160;1.14748;2022.11.25 22:00:10;1.14378;-0.49;;16.08;
2022.11.25 02:11:40;Sell;0.13;GBPAUD;1.79148;1.79567;1.78684;2022.11.25 22:00:10;1.79288;-0.91;;-12.29;
2022.11.25 02:12:00;Buy;0.15;AUDJPY;93.644;93.219;94.096;2022.11.25 22:00:10;93.803;-1.05;;17.15;
2022.11.25 20:59:51;Sell Stop;0.45;EURUSD;1.03940;1.04042;;2022.11.25 21:00:11;1.04020;;;;cancelled
2022.11.25 20:59:51;Buy Stop;0.45;EURUSD;1.04082;1.03980;;2022.11.25 21:00:11;1.04020;;;;cancelled
2022.11.25 17:22:47;Buy Stop;0.03;USDJPY;139.596;139.315;163.788;2022.11.25 20:59:01;139.028;;;;cancelled
2022.11.25 16:52:31;Buy Stop;0.03;USDJPY;139.596;139.315;164.284;2022.11.25 20:59:01;139.028;;;;cancelled
2022.11.25 01:01:03;Sell Stop;0.03;USDJPY;138.092;138.373;114.028;2022.11.25 20:59:01;139.019;;;;cancelled
2022.11.25 01:01:02;Sell Stop;0.03;USDJPY;138.092;138.373;114.028;2022.11.25 20:59:01;139.019;;;;cancelled
2022.11.25 01:01:02;Sell Stop;0.04;USDJPY;138.053;138.287;112.933;2022.11.25 20:59:01;139.019;;;;cancelled
2022.11.25 01:01:01;Buy Stop;0.04;USDJPY;139.623;139.389;164.743;2022.11.25 20:59:01;139.028;;;;cancelled
2022.11.25 01:01:01;Sell Stop;0.04;USDJPY;138.053;138.287;112.933;2022.11.25 20:59:01;139.019;;;;cancelled
2022.11.25 01:01:01;Buy Stop;0.04;USDJPY;139.623;139.389;164.743;2022.11.25 20:59:01;139.028;;;;cancelled
2022.11.25 11:39:10;Buy;0.03;USDJPY;139.248;139.295;157.960;2022.11.25 17:22:47;139.289;-0.21;;0.88;[sl]
2022.11.25 16:59:51;Sell Stop;0.46;EURUSD;1.03755;1.03855;;2022.11.25 17:00:06;1.03819;;;;cancelled
2022.11.25 16:59:51;Buy Stop;0.46;EURUSD;1.03895;1.03795;;2022.11.25 17:00:06;1.03820;;;;cancelled
2022.11.25 11:39:10;Buy;0.03;USDJPY;139.248;139.295;157.960;2022.11.25 16:52:30;139.288;-0.21;;0.86;[sl]
2022.11.25 02:00:59;Buy;0.07;GBPUSD;1.21098;1.20605;1.21604;2022.11.25 15:33:29;1.20602;-0.49;;-34.72;[sl]
2022.11.25 15:29:51;Sell Stop;0.45;EURUSD;1.03567;1.03667;;2022.11.25 15:30:06;1.03659;;;;cancelled
