Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.11.23 17:00:41;Buy;1.16;EURCAD;1.38834;;;2022.11.23 17:21:14;1.38733;-2.40;;-87.44;
2022.11.23 15:20:00;Buy;1.22;EURCAD;1.38583;;;2022.11.23 17:21:14;1.38733;-2.52;;136.57;
2022.11.22 02:13:53;Sell;1.19;EURGBP;0.86579;;;2022.11.23 17:21:13;0.86156;-2.44;0.29;604.98;
2022.11.21 10:30:01;Sell;1.18;EURGBP;0.86739;;;2022.11.23 17:21:13;0.86157;-2.42;0.58;825.39;
2022.11.22 14:25:01;Sell;1.17;EURGBP;0.86410;;;2022.11.23 17:21:12;0.86152;-2.40;0.29;362.78;
2022.11.23 15:40:00;Sell;1.22;EURGBP;0.86257;;;2022.11.23 17:21:11;0.86158;-2.52;;145.16;
2022.11.23 09:30:00;Sell;1.09;USDCHF;0.95033;;;2022.11.23 17:21:11;0.94490;-2.18;;626.38;
2022.11.23 16:50:01;Sell;1.19;USDCHF;0.94581;;;2022.11.23 17:21:10;0.94488;-2.38;;117.13;
2022.11.23 15:15:02;Sell;1.21;USDCHF;0.94872;;;2022.11.23 17:21:10;0.94489;-2.42;;490.46;
2022.11.21 10:55:00;Sell;1.18;AUDUSD;0.66252;;;2022.11.23 16:51:08;0.66961;-1.56;-5.90;-836.62;
2022.11.21 09:30:00;Sell;1.18;AUDUSD;0.66403;;;2022.11.23 16:51:08;0.66958;-1.57;-5.90;-654.90;
2022.11.21 17:55:00;Sell;1.20;AUDUSD;0.65931;;;2022.11.23 16:51:07;0.66966;-1.58;-6.00;-1 242.00;
2022.11.21 11:45:01;Sell;1.21;AUDUSD;0.66088;;;2022.11.23 16:51:07;0.66964;-1.60;-6.06;-1 059.96;
2022.11.21 11:30:02;Buy;1.20;NZDJPY;86.575;;;2022.11.23 12:50:07;87.254;-1.47;1.46;575.98;
2022.11.22 10:28:17;Buy;1.17;NZDJPY;86.986;;;2022.11.23 12:50:06;87.257;-1.44;1.95;224.14;
2022.11.21 14:25:02;Buy;1.20;NZDJPY;86.830;;;2022.11.23 12:50:06;87.254;-1.47;1.46;359.67;
2022.11.23 03:10:00;Buy;1.12;NZDJPY;87.222;;;2022.11.23 12:50:05;87.251;-1.38;;22.96;
2022.11.18 09:45:01;Buy;1.13;NZDJPY;86.259;;;2022.11.18 17:55:55;86.286;-1.39;;21.82;
2022.11.18 04:25:03;Buy;1.12;EURCHF;0.98734;;;2022.11.18 17:55:55;0.98532;-2.32;;-237.93;
2022.11.18 10:50:01;Buy;1.11;NZDJPY;86.467;;;2022.11.18 17:55:54;86.286;-1.37;;-143.63;
2022.11.18 10:00:01;Buy;1.12;GBPCAD;1.58739;;;2022.11.18 17:55:54;1.59702;-2.67;;805.79;
2022.11.18 11:20:03;Buy;1.13;GBPCAD;1.58957;;;2022.11.18 17:55:53;1.59699;-2.69;;626.41;
2022.11.18 14:50:00;Buy;1.16;NZDJPY;86.633;;;2022.11.18 17:55:52;86.286;-1.43;;-287.76;
2022.11.18 11:35:00;Buy;1.16;GBPCAD;1.59176;;;2022.11.18 17:55:52;1.59700;-2.77;;454.11;
2022.11.18 17:20:01;Buy;1.10;GBPCAD;1.59387;;;2022.11.18 17:55:51;1.59702;-2.62;;258.87;
2022.11.18 15:35:02;Buy;1.18;EURCHF;0.98888;;;2022.11.18 17:55:51;0.98531;-2.45;;-443.02;
2022.11.18 17:45:01;Buy;1.15;GBPCAD;1.59569;;;2022.11.18 17:55:50;1.59701;-2.74;;113.41;
