Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2022.11.22 10:27:40;Buy;0.2;GBPUSD;1.18581;0.2;2022.11.22 13:30:02;1.18758;;;35.4
2022.11.22 10:27:27;Buy;0.2;XAUUSD;1746.07;0.2;2022.11.22 13:29:57;1748.3;;;44.6
2022.11.18 06:53:48;Sell;0.2;XAUUSD;1762.36;0.2;2022.11.18 13:51:44;1761.26;;;22
2022.11.18 06:53:27;Sell;0.2;GBPUSD;1.18939;0.2;2022.11.18 13:51:40;1.19008;;;-13.8
2022.11.18 11:45:27;Sell;0.2;XAUUSD;1766.63;0.2;2022.11.18 13:51:35;1761.27;;;107.2
2022.11.17 15:55:12;Sell;0.2;XAUUSD;1758.14;0.2;2022.11.17 16:05:07;1756.39;;;35
2022.11.17 15:24:43;Sell;0.2;XAUUSD;1762.72;0.2;2022.11.17 15:37:39;1759.57;;;63
2022.11.17 13:38:43;Sell;0.2;GBPUSD;1.18295;0.2;2022.11.17 15:06:00;1.17878;;;83.4
2022.11.17 13:38:40;Sell;0.2;XAUUSD;1762.51;0.2;2022.11.17 15:05:58;1757.91;;;92
2022.11.17 03:52:54;Sell;0.2;GBPUSD;1.18902;0.2;2022.11.17 05:23:03;1.18743;;;31.8
2022.11.17 03:52:59;Sell;0.2;XAUUSD;1769.91;0.2;2022.11.17 05:22:58;1764.31;;;112
2022.11.16 14:35:36;Buy;0.2;GBPUSD;1.19108;0.2;2022.11.17 01:35:33;1.1918;;-2.61;14.4
2022.11.16 15:55:49;Buy;0.2;GBPUSD;1.18687;0.2;2022.11.17 01:35:28;1.19183;;-2.61;99.2
2022.11.16 15:55:53;Buy;0.2;XAUUSD;1777.26;0.2;2022.11.16 20:32:45;1771.79;;;-109.4
2022.11.16 14:35:52;Buy;0.2;XAUUSD;1783.11;0.2;2022.11.16 20:32:45;1771.79;;;-226.4
2022.11.16 09:58:08;Buy;0.2;GBPUSD;1.18957;0.2;2022.11.16 10:13:28;1.18724;;;-46.6
2022.11.16 09:58:35;Buy;0.2;XAUUSD;1777.5;0.2;2022.11.16 10:13:27;1777.43;;;-1.4
2022.11.16 05:24:11;Buy;0.2;GBPUSD;1.18611;0.2;2022.11.16 08:03:11;1.188;;;37.8
2022.11.16 06:20:03;Buy;0.2;XAUUSD;1771.39;0.2;2022.11.16 08:03:10;1774.6;;;64.2
2022.11.16 02:35:20;Buy;0.2;GBPUSD;1.18563;0.2;2022.11.16 08:03:09;1.18794;;;46.2
2022.11.15 16:35:39;Buy;0.2;GBPUSD;1.19459;0.2;2022.11.16 08:03:08;1.1879;;-0.87;-133.8
2022.11.15 16:02:52;Buy;0.2;GBPUSD;1.19842;0.2;2022.11.16 08:03:08;1.1879;;-0.87;-210.4
2022.11.16 04:25:04;Buy;0.2;XAUUSD;1776.28;0.2;2022.11.16 08:03:07;1774.43;;;-37
2022.11.16 05:24:49;Buy;0.2;XAUUSD;1774.5;0.2;2022.11.16 08:03:06;1774.43;;;-1.4
2022.11.15 16:02:22;Buy;0.2;XAUUSD;1777.8;0.2;2022.11.15 20:40:19;1785.74;;;158.8
2022.11.15 16:35:11;Buy;0.2;XAUUSD;1772.35;0.2;2022.11.15 20:39:47;1783.43;;;221.6
2022.11.15 15:40:07;Sell;0.2;XAUUSD;1785.5;0.2;2022.11.15 15:41:33;1781.98;;;70.4
2022.11.15 15:36:27;Sell;0.2;GBPUSD;1.19861;0.2;2022.11.15 15:41:31;1.19781;;;16
2022.11.15 15:38:57;Sell;0.2;GBPUSD;1.20066;0.2;2022.11.15 15:41:30;1.19776;;;58
2022.11.15 15:30:58;Sell;0.2;GBPUSD;1.19406;0.2;2022.11.15 15:41:30;1.19769;;;-72.6
2022.11.15 15:30:50;Sell;0.2;XAUUSD;1782.75;0.2;2022.11.15 15:41:28;1782.52;;;4.6
2022.11.15 15:01:19;Buy;0.2;GBPUSD;1.19144;0.2;2022.11.15 15:30:24;1.19248;;;20.8
2022.11.15 14:00:37;Buy;0.2;XAUUSD;1777.38;0.2;2022.11.15 15:30:20;1782.33;;;99
2022.11.15 15:21:32;Buy;0.2;GBPUSD;1.18855;0.2;2022.11.15 15:30:19;1.19227;;;74.4
2022.11.15 15:17:11;Sell;0.2;GBPUSD;1.1887;0.2;2022.11.15 15:19:03;1.18873;;;-0.6
2022.11.15 11:42:25;Buy;0.2;XAUUSD;1775.06;0.2;2022.11.15 13:05:29;1776.79;;;34.6
2022.11.15 11:52:02;Buy;0.2;GBPUSD;1.18274;0.2;2022.11.15 13:05:27;1.18781;;;101.4
2022.11.15 11:10:08;Buy;0.2;XAUUSD;1778.42;0.2;2022.11.15 13:04:57;1776.55;;;-37.4
2022.11.14 17:32:12;Sell;0.2;XAUUSD;1770.14;0.2;2022.11.14 18:29:23;1768.4;;;34.8
2022.11.14 15:42:22;Sell;0.2;XAUUSD;1762.1;0.2;2022.11.14 16:39:51;1767.48;;;-107.6
2022.11.14 14:56:11;Sell;0.2;XAUUSD;1759.9;0.2;2022.11.14 16:39:51;1767.48;;;-151.6
2022.11.14 13:14:49;Sell;0.2;XAUUSD;1754.79;0.2;2022.11.14 16:39:51;1767.48;;;-253.8
2022.11.14 15:09:17;Sell;0.2;GBPUSD;1.18005;0.2;2022.11.14 15:42:07;1.17636;;;73.8
2022.11.14 13:15:35;Sell;0.2;GBPUSD;1.17567;0.2;2022.11.14 15:41:48;1.17621;;;-10.8
2022.11.11 12:41:40;Sell;0.2;GBPUSD;1.17393;0.2;2022.11.11 13:00:55;1.1730800000000001;;;17
2022.11.11 12:41:15;Sell;0.2;XAUUSD;1763.49;0.2;2022.11.11 13:00:34;1758.89;;;92
2022.11.11 08:17:14;Sell;0.2;XAUUSD;1758.87;0.2;2022.11.11 10:25:50;1758.38;;;9.8
2022.11.10 15:30:34;Sell;0.2;XAUUSD;1729.14;0.2;2022.11.10 15:32:11;1728.8;;;6.8
2022.11.10 15:29:05;Buy;0.2;XAUUSD;1712.29;0.2;2022.11.10 15:30:09;1722.19;;;198
2022.11.10 14:18:04;Buy;0.2;GBPUSD;1.13895;0.2;2022.11.10 15:14:30;1.1403699999999999;;;28.4
2022.11.10 13:59:50;Buy;0.2;XAUUSD;1707.66;0.2;2022.11.10 15:08:58;1710.11;;;49
2022.11.10 02:52:22;Buy;0.2;XAUUSD;1706.1;0.2;2022.11.10 05:12:52;1709.39;;;65.8
2022.11.09 14:01:01;Sell;0.2;XAUUSD;1708.34;0.2;2022.11.09 15:17:08;1704.95;;;67.8
2022.11.09 12:05:34;Sell;0.2;XAUUSD;1707.43;0.2;2022.11.09 12:30:40;1705.26;;;43.4
2022.11.09 10:32:39;Sell;0.2;XAUUSD;1714.1;0.2;2022.11.09 11:11:10;1711.76;;;46.8
2022.11.09 03:34:02;Buy;0.2;GBPUSD;1.15405;0.2;2022.11.09 10:06:43;1.15494;;;17.8
2022.11.09 03:33:58;Buy;0.2;XAUUSD;1709.89;0.2;2022.11.09 10:06:35;1713.74;;;77
2022.11.08 05:44:40;Sell;0.2;XAUUSD;1673.26;0.2;2022.11.08 16:44:48;1677.31;;;-81
2022.11.07 15:27:17;Buy;0.2;GBPUSD;1.14616;0.2;2022.11.07 16:19:58;1.1479;;;34.8
2022.11.07 13:45:30;Buy;0.2;EURUSD;0.99859;0.2;2022.11.07 16:19:57;1.00019;;;32
2022.11.07 13:43:29;Buy;0.2;XAUUSD;1678.03;0.2;2022.11.07 16:19:56;1679.59;;;31.2
2022.11.07 10:38:22;Buy;0.2;EURUSD;0.99731;0.2;2022.11.07 11:21:18;0.99973;;;48.4
2022.11.07 10:38:19;Buy;0.2;XAUUSD;1674.83;0.2;2022.11.07 11:21:15;1678.71;;;77.6
2022.11.07 10:38:16;Buy;0.2;GBPUSD;1.139;0.2;2022.11.07 11:21:13;1.14529;;;125.8
2022.11.07 09:39:22;Sell;0.2;XAUUSD;1667.85;0.2;2022.11.07 10:31:04;1675;;;-143
2022.11.07 09:41:40;Sell;0.2;GBPUSD;1.12982;0.2;2022.11.07 10:15:40;1.13424;;;-88.4
2022.11.04 15:01:13;Buy;0.2;XAUUSD;1659.74;0.2;2022.11.04 15:02:42;1662.71;;;59.4
2022.11.04 14:40:31;Buy;0.2;XAUUSD;1653.74;0.2;2022.11.04 14:48:31;1658.12;;;87.6
2022.11.04 14:34:47;Buy;0.2;XAUUSD;1648.01;0.2;2022.11.04 14:35:58;1653.04;;;100.6
2022.11.04 07:25:28;Sell;0.2;XAUUSD;1646.23;0.2;2022.11.04 09:58:59;1645.32;;;18.2
2022.11.04 07:25:38;Sell;0.2;GBPUSD;1.12275;0.2;2022.11.04 09:57:54;1.11985;;;58
2022.11.03 11:36:41;Buy;0.2;GBPUSD;1.1272199999999999;0.2;2022.11.03 16:46:44;1.12086;;;-127.2
2022.11.03 12:43:35;Buy;0.2;XAUUSD;1622.83;0.2;2022.11.03 16:46:40;1625.62;;;55.8
2022.11.03 14:04:05;Buy;0.2;GBPUSD;1.12094;0.2;2022.11.03 16:46:39;1.12106;;;2.4
2022.11.03 09:13:59;Sell;0.2;XAUUSD;1629.83;0.2;2022.11.03 10:04:38;1627.42;;;48.2
2022.11.03 09:14:12;Sell;0.2;GBPUSD;1.13635;0.2;2022.11.03 10:04:24;1.13273;;;72.4
2022.11.02 11:35:12;Buy;0.2;GBPUSD;1.14953;0.2;2022.11.02 20:11:21;1.15394;;;88.2
2022.11.02 04:45:13;Buy;0.2;GBPUSD;1.15109;0.2;2022.11.02 20:11:16;1.15455;;;69.2
2022.11.02 04:45:55;Buy;0.2;EURUSD;0.98925;0.2;2022.11.02 20:11:12;0.99519;;;118.8
2022.11.02 15:59:09;Buy;0.2;XAUUSD;1653.31;0.2;2022.11.02 20:10:01;1665;;;233.8
2022.11.02 16:20:16;Buy;0.2;XAUUSD;1651.3;0.2;2022.11.02 20:01:06;1657.34;;;120.8
2022.11.02 05:18:29;Buy;0.2;XAUUSD;1652.06;0.2;2022.11.02 11:34:42;1655.42;;;67.2
2022.11.02 04:18:37;Buy;0.2;XAUUSD;1648.25;0.2;2022.11.02 05:10:19;1651.83;;;71.6
2022.11.01 12:54:26;Buy;0.2;GBPUSD;1.15452;0.2;2022.11.01 16:20:09;1.1489099999999999;;;-112.2
2022.11.01 12:52:19;Buy;0.2;XAUUSD;1651.78;0.2;2022.11.01 16:04:41;1644.63;;;-143
2022.11.01 03:50:46;Buy;0.2;XAUUSD;1637.71;0.2;2022.11.01 08:22:24;1643.18;;;109.4
2022.11.01 05:52:25;Buy;0.2;XAUUSD;1636.69;0.2;2022.11.01 07:47:59;1641.78;;;101.8
2022.10.31 12:30:09;Sell;0.2;GBPUSD;1.1544;0.2;2022.10.31 17:11:02;1.14963;;;95.4
2022.10.31 10:58:59;Sell;0.2;XAUUSD;1636.82;0.2;2022.10.31 17:11:01;1639.51;;;-53.8
2022.10.31 10:03:16;Sell;0.2;GBPUSD;1.15666;0.2;2022.10.31 17:10:59;1.14967;;;139.8
2022.10.31 10:03:10;Sell;0.2;EURUSD;0.99234;0.2;2022.10.31 17:10:56;0.98892;;;68.4
2022.10.31 05:20:56;Buy;0.2;XAUUSD;1642.65;0.2;2022.10.31 10:03:21;1640.3;;;-47
2022.10.28 17:00:21;Buy;0.2;GBPUSD;1.15708;0.2;2022.10.28 18:16:43;1.15745;;;7.4
2022.10.28 17:00:18;Buy;0.2;XAUUSD;1647.62;0.2;2022.10.28 18:15:39;1639.68;;;-158.8
2022.10.28 16:20:14;Sell;0.2;XAUUSD;1644.22;0.2;2022.10.28 16:51:59;1648.84;;;-92.4
2022.10.28 15:53:32;Buy;0.2;XAUUSD;1643.69;0.2;2022.10.28 16:07:29;1647;;;66.2
2022.10.28 15:13:30;Buy;0.2;GBPUSD;1.15558;0.2;2022.10.28 16:07:27;1.15767;;;41.8
2022.10.28 15:51:50;Buy;0.2;GBPUSD;1.15309;0.2;2022.10.28 16:07:17;1.15796;;;97.4
2022.10.28 15:50:44;Buy;0.2;XAUUSD;1642.91;0.2;2022.10.28 16:06:53;1646.33;;;68.4
2022.10.28 15:37:10;Sell;0.2;GBPUSD;1.15347;0.2;2022.10.28 15:49:55;1.15279;;;13.6
2022.10.28 15:35:47;Sell;0.2;XAUUSD;1647.36;0.2;2022.10.28 15:49:55;1642.63;;;94.6
2022.10.28 15:39:36;Sell;0.2;XAUUSD;1646.02;0.2;2022.10.28 15:49:54;1642.26;;;75.2
2022.10.28 15:42:21;Sell;0.2;XAUUSD;1645.5;0.2;2022.10.28 15:49:53;1642.18;;;66.4
2022.10.28 15:11:58;Buy;0.2;XAUUSD;1648.72;0.2;2022.10.28 15:27:56;1644.89;;;-76.6
2022.10.28 14:39:27;Buy;0.2;XAUUSD;1652.62;0.2;2022.10.28 15:27:56;1644.98;;;-152.8
2022.10.28 14:41:43;Sell;0.2;XAUUSD;1651.13;0.2;2022.10.28 15:10:41;1648.86;;;45.4
2022.10.28 14:41:19;Sell;0.2;GBPUSD;1.15624;0.2;2022.10.28 15:10:14;1.15527;;;19.4
2022.10.28 10:18:20;Sell;0.2;GBPUSD;1.15153;0.2;2022.10.28 14:18:32;1.1546;;;-61.4
2022.10.28 10:42:37;Sell;0.2;GBPUSD;1.15177;0.2;2022.10.28 14:18:31;1.1545;;;-54.6
2022.10.28 10:18:46;Sell;0.2;XAUUSD;1651.97;0.2;2022.10.28 12:39:52;1648.4;;;71.4
2022.10.27 19:40:26;Sell;0.2;XAUUSD;1657.46;0.2;2022.10.28 10:12:30;1654.1;;-0.27;67.2
2022.10.27 19:39:53;Sell;0.2;XAUUSD;1657.98;0.2;2022.10.28 10:10:55;1655.41;;-0.27;51.4
2022.10.27 19:40:49;Sell;0.2;GBPUSD;1.15769;0.2;2022.10.28 10:09:53;1.15384;;-0.77;77
2022.10.28 05:15:35;Sell;0.2;XAUUSD;1664.99;0.2;2022.10.28 10:09:47;1655.92;;;181.4
2022.10.28 05:55:27;Sell;0.2;XAUUSD;1663.72;0.2;2022.10.28 10:09:46;1655.74;;;159.6
2022.10.27 16:48:01;Sell;0.2;GBPUSD;1.15999;0.2;2022.10.27 19:07:09;1.15838;;;32.2
2022.10.27 15:34:36;Sell;0.2;XAUUSD;1659.45;0.2;2022.10.27 19:07:08;1662.18;;;-54.6
2022.10.27 15:37:44;Sell;0.2;XAUUSD;1659.03;0.2;2022.10.27 19:07:07;1662.09;;;-61.2
2022.10.27 15:34:32;Sell;0.2;XAUUSD;1659.62;0.2;2022.10.27 19:07:06;1662.09;;;-49.4
2022.10.27 15:26:21;Sell;0.2;GBPUSD;1.15661;0.2;2022.10.27 19:07:05;1.15839;;;-35.6
2022.10.27 15:27:01;Sell;0.2;XAUUSD;1655.81;0.2;2022.10.27 15:29:57;1663.88;;;-161.4
2022.10.27 15:24:45;Sell;0.2;XAUUSD;1658.24;0.2;2022.10.27 15:29:57;1663.88;;;-112.8
2022.10.27 12:21:29;Buy;0.2;XAUUSD;1663.02;0.2;2022.10.27 15:20:10;1657.39;;;-112.6
2022.10.27 11:26:53;Buy;0.2;XAUUSD;1665.78;0.2;2022.10.27 15:20:10;1657.35;;;-168.6
2022.10.27 04:14:02;Buy;0.2;XAUUSD;1670.22;0.2;2022.10.27 15:20:10;1657.35;;;-257.4
2022.10.27 11:24:56;Sell;0.2;XAUUSD;1664.84;0.2;2022.10.27 11:26:39;1665.68;;;-16.8
2022.10.27 10:37:32;Buy;0.2;XAUUSD;1661.53;0.2;2022.10.27 11:23:08;1665.53;;;80
2022.10.27 05:45:28;Buy;0.2;XAUUSD;1663.14;0.2;2022.10.27 08:19:09;1666.16;;;60.4
2022.10.27 04:54:15;Buy;0.2;XAUUSD;1667.65;0.2;2022.10.27 08:19:08;1666.16;;;-29.8
2022.10.27 05:03:13;Buy;0.2;XAUUSD;1666.45;0.2;2022.10.27 08:19:07;1666.16;;;-5.8
2022.10.27 04:29:28;Sell;0.2;XAUUSD;1668.21;0.2;2022.10.27 04:54:05;1667.59;;;12.4
2022.10.27 04:25:39;Sell;0.2;XAUUSD;1668.34;0.2;2022.10.27 04:28:52;1668.84;;;-10
2022.10.26 18:28:07;Buy;0.2;GBPUSD;1.16061;0.2;2022.10.26 19:35:59;1.16242;;;36.2
2022.10.26 10:55:57;Buy;0.2;XAUUSD;1671.2;0.2;2022.10.26 18:15:54;1671.38;;;3.6
2022.10.26 10:56:37;Buy;0.2;GBPUSD;1.15655;0.2;2022.10.26 18:15:52;1.1609;;;87
2022.10.26 16:03:08;Buy;0.2;XAUUSD;1663.89;0.2;2022.10.26 18:15:51;1671.42;;;150.6
2022.10.26 10:05:21;Sell;0.2;XAUUSD;1666.52;0.2;2022.10.26 10:45:56;1671.33;;;-96.2
2022.10.26 09:55:15;Sell;0.2;XAUUSD;1664.31;0.2;2022.10.26 10:45:50;1670.82;;;-130.2
2022.10.26 06:39:39;Sell;0.2;XAUUSD;1656.33;0.2;2022.10.26 09:12:40;1660.87;;;-90.8
2022.10.26 04:12:29;Buy;0.2;XAUUSD;1651.87;0.2;2022.10.26 05:24:44;1653.8;;;38.6
2022.10.26 04:16:18;Buy;0.2;GBPUSD;1.1445;0.2;2022.10.26 05:24:43;1.14465;;;3
2022.10.25 17:49:35;Sell;0.2;GBPUSD;1.14665;0.2;2022.10.25 18:53:22;1.1482;;;-31
2022.10.25 17:25:02;Buy;0.2;XAUUSD;1654.81;0.2;2022.10.25 17:47:30;1656.95;;;42.8
2022.10.25 17:04:07;Buy;0.2;XAUUSD;1660.39;0.2;2022.10.25 17:22:08;1655.65;;;-94.8
2022.10.25 17:10:15;Sell;0.2;XAUUSD;1659.26;0.2;2022.10.25 17:10:27;1658.18;;;21.6
2022.10.25 16:30:57;Buy;0.2;XAUUSD;1654.99;0.2;2022.10.25 16:34:30;1656.88;;;37.8
2022.10.25 04:11:18;Buy;0.1;XAUUSD;1653.8;0.1;2022.10.25 16:25:17;1650.46;;;-33.4
2022.10.25 05:23:20;Buy;0.1;XAUUSD;1648.89;0.1;2022.10.25 16:24:50;1650.83;;;19.4
2022.10.25 16:16:02;Buy;0.2;XAUUSD;1646.49;0.2;2022.10.25 16:18:11;1647.97;;;29.6
2022.10.25 15:52:16;Buy;0.2;XAUUSD;1641.89;0.2;2022.10.25 16:14:43;1645.88;;;79.8
2022.10.25 10:53:13;Buy;0.1;XAUUSD;1645.75;0.1;2022.10.25 16:14:42;1645.88;;;1.3
2022.10.24 16:53:04;Buy;0.1;XAUUSD;1650.01;0.1;2022.10.25 03:42:43;1653.34;;-0.21;33.3
2022.10.24 13:45:48;Sell;0.1;XAUUSD;1647.47;0.1;2022.10.24 16:45:00;1650.13;;;-26.6
2022.10.24 04:27:08;Sell;0.1;XAUUSD;1655.21;0.1;2022.10.24 05:22:54;1653.2;;;20.1
2022.10.21 17:07:18;Buy;0.1;XAUUSD;1643.2;0.1;2022.10.21 17:12:57;1641.66;;;-15.4
2022.10.21 16:35:43;Buy;0.1;EURUSD;0.97678;0.1;2022.10.21 17:09:20;0.98131;;;45.3
2022.10.21 16:33:45;Buy;0.1;GBPUSD;1.11484;0.1;2022.10.21 17:09:16;1.12134;;;65
2022.10.21 16:36:28;Buy;0.1;XAUUSD;1638.35;0.1;2022.10.21 17:00:51;1642.74;;;43.9
2022.10.21 16:32:56;Buy;0.1;XAUUSD;1635.88;0.1;2022.10.21 17:00:21;1643.11;;;72.3
2022.10.21 05:16:31;Buy;0.1;XAUUSD;1627.01;0.1;2022.10.21 06:43:59;1621.37;;;-56.4
